No,Text,Date,Favorites,Retweets
2,"NEW Article: ""[May] Monthly Stock Market Update and Economic Commentary"" - https://www.seeitmarket.com/may-monthly-stock-market-update-and-economic-commentary/ by @MikeZaccardi $SPY $QQQ $IWM $GLD $USO $TLT",2020-05-31 23:25:54+00:00,3,6
23,2020 = 1918 Spanish Flu Pandemic + Great Depression + 1964 Civil Right Riots + 1992 LA Riots + Tech Stock Market Bubble + Housing Bubble + #BLACK_LIVES_MATTER + #Anonymous + &lt;comment below&gt;,2020-05-31 20:27:33+00:00,29,107
37,"Is this the winning Trump promised? â€¢105,00 COVID deaths â€¢36 million unemployed â€¢America is burning â€¢worst stock market in history â€¢Mexico didnâ€™t pay for wall â€¢over 18,000 documented lies â€¢340 million cost for his golf trips #protests2020 #MAGA",2020-05-31 18:01:02+00:00,8,12
89,"So far we got World War III threats, a global pandemic, forest fires, murder bugs, aliens, stock market crashes, and now riots. I wonder what chaos Juneâ€™s gonna bring",2020-05-31 02:34:41+00:00,24,66
126,"Hey, but how's the stock market doing???",2020-05-30 08:57:23+00:00,15,184
134,No post-apolocalyptic science fiction ever prepared me for the incredible stock market rally that would accompany the end times.,2020-05-30 05:46:11+00:00,126,1033
138,By age 25 you should have: â€¢ a mortal enemy â€¢ a favorite gas station â€¢ a failed attempt at playing the stock market â€¢ one pan you cook everything in â€¢ one pair of matching socks,2020-05-30 03:37:34+00:00,0,35
192,"Why is the stock market up seemingly every day on bad news? Trump ordered Chairman Powell to buy U.S. stocks with the Fedâ€™s balance sheet each day from 3-4 pm. If stocks finish down, Trump comes to our HQ, makes Powell pull his pants down, and spanks him in front of everyone.",2020-05-29 15:54:39+00:00,32,149
200,"In trump's America it okay to murder people for forging a $20 check and shoot looters. It's okay to ignore subpoenas, illegally trade on the stock market, use taxpayer funds for personal use, fire people for doing their jobs, and lie to the FBI. Oh, but only if you're white.",2020-05-29 13:44:56+00:00,25,51
216,"the highest death counts of the virus is in democrat run states and cities, why is that? the high unemployment is because the democrats run states won't allow their states business's to open. meanwhile the stock market goes up. ",2020-05-29 11:19:00+00:00,6,58
247,Lemme get this straight... weâ€™re in the middle of a pandemic Black people are being killed in broad daylight or in their own homes - by people sworn to protect them our stock market is crashing rioting â€œexecutive action against Twitter fact-checking!â€ ,2020-05-28 23:37:50+00:00,12,64
326,Trump leapfrogs back ahead of Obama in stock market gains https://www.reuters.com/article/us-usa-stocks-trump-idUSKBN2341GX?taid=5ecf92bf842569000110b12e&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter,2020-05-28 10:30:25+00:00,2,19
331,Justice Department closes investigations into three senators who made stock transactions ahead of the market downturn caused by the coronavirus https://cnn.it/2XzO248,2020-05-28 08:28:03+00:00,39,55
338,"You claim to be pro-life but you stand with a man who cages babies, who wants to cut SNAP, who wants to cut social security, who is suing to take away people's healthcare, who wants to sacrifice the elderly to the stock market, who does not care that 100,00 Americans died",2020-05-28 04:59:07+00:00,16,100
366,"The DOW does NOT equal the economy! The stock market only enriches the already rich! A significant #of Americans don't have enough money to invest in stocks. Many live paycheck to paycheck. Of course, you wouldn't know or care anything about that - you can't relate! BTW, ",2020-05-27 23:53:29+00:00,44,239
424,People are going hungry in America because our leaders chose the stock market over preparedness. Don't just be angry. Be determined. Vote. ,2020-05-27 13:28:00+00:00,34,107
509,"Coronavirus update, Tiger v Phil, NHL, MLB, NBA plot comebacks, stock market on fire, Michigan football, my plane travel ",2020-05-26 19:35:30+00:00,22,111
517,"We have lost 100,000 lives, almost 3 times more than any other country. Yet today #Trump is claiming success, bragging about the stock market, encouraging people to risk their lives, &amp; trying to stop people from voting in Nov. He's an absolute disgrace to America &amp; humanity.",2020-05-26 18:10:38+00:00,19,44
553," WHOOP!! STOCK MARKET AT 25,000!! THE TRANSITION TO GREATNESS HAS BEGUN!! ",2020-05-26 14:57:52+00:00,34,37
602,Opened in green went 400 points up and eventually closed in Red down 60 points !!! Read in between what's happening in Indian Stock Market ... ,2020-05-26 10:22:12+00:00,5,14
633,Just ignore the hundred thousand people dead the plummeting stock market and the millions of people out of a job. Other than that weâ€™re killing it.,2020-05-25 23:48:44+00:00,2,66
644,The human capital stock market is down 100K.,2020-05-25 19:49:40+00:00,36,229
693,"100k dead; more than 30 million jobless. The stock market won't bring back one or help the jobless pay their bills. Every tweet is a confession of how insecure, ineffectual, incompetent, impeached, immoral, indecent, ignoble he is. #TrumpOwnsThisCrisis #TrumpOwnsEveryDeath",2020-05-25 03:05:56+00:00,20,91
741,The world's biggest investors are notoriously skeptical of the stock market's bet for a quick economic recovery â€” and warning that the 'fantasy' rally will soon come crashing down ,2020-05-24 10:09:45+00:00,10,31
754,i wanna invest in the stock market but im sooo not a risky taker and i overthink way too much and lets not talk about my indecisiveness ,2020-05-24 00:49:59+00:00,2,116
756,"The US Economy is on its way back! Expect Stock Market to explode over 30,000! ",2020-05-24 00:37:33+00:00,41,83
758,"He doesn't care about the actual economy, just the stock market because it's the hedge-fund managers and the uber-rich who are keeping him from drowning. They hitched their stars to one broke-down wagon, but they'll stay until stock market takes a nosedive like an AI-operated jet",2020-05-23 23:24:07+00:00,11,12
831,"People need to focus on learning/refining your trading process & self-sufficiency FAR more than just making $when beginning trading in the stock market. Ask yourself what can you today, tomorrow, this month, this year to put yourself in the best position 1-2-3-5 years from now?",2020-05-22 18:59:57+00:00,35,180
847,"New research I haven't seen elsewhere: ""How Would Gold Perform In a Second Stock Market Crash?"" If we get a second leg down in the stock market, how has gold historically performed in that scenario before? https://goldsilver.com/blog/how-would-gold-perform-in-a-second-stock-market-crash/",2020-05-22 16:00:58+00:00,7,50
