,Text,Sentiment,Date,Favorites,Retweets,Mentions,HashTags
0,"#Unemployment at its highest while the #billionaires got richer by $440B, feds keep the printing money, corporations getting #bailouts, #protests #riots all over the country, and the stock market keeps going up? Can someone please explain this shit? $DJI $SPX #StockMarket",negative,2020-05-31 22:51:49+00:00,0,4,,#Unemployment #billionaires #bailouts #protests #riots #StockMarket
2,#global #Shutdown WAS #shutdown #FederalGovt made it clear to pump #money #ES_F #ES #spx #futures $ndx $dji $rut watch #technical #trading #stockmarket outlook for coming week. #stocks #options #forex #BTC #tradingpsychology #trading #education #COVID19,neutral,2020-05-31 20:53:14+00:00,1,0,,#global #Shutdown #shutdown #FederalGovt #money #ES_F #ES #spx #futures #technical #trading #stockmarket #stocks #options #forex #BTC #BTC #tradingpsychology #trading #education #COVID19
3,"Finally, a breakout and a new all time high. $REGN #StockMarket #Futures #options #bearish #Oil #gas $SPX $NDX $RUT $DJI $SPY $QQQ $IWM $DIA $AAPL $AMZN $FB $GOOGL $NFLX $TSLA $BA $MSFT $BAC $AAL $DAL $UBER $GE $SNAP $GLD $TLT #Goodluck",negative,2020-05-31 13:01:52+00:00,0,0,,#StockMarket #Futures #options #bearish #Oil #gas #Goodluck
4,Do you think the stock market and DJI will fall in Monday?,negative,2020-05-31 10:18:19+00:00,0,1,,
5,Does the stock market go up or down Monday? $SPY $DJI $NDX #stocks #stockmarket,neutral,2020-05-31 00:51:18+00:00,1,0,,#stocks #stockmarket
6,"The fact that the stock market has been perfectly fine this whole time just exposes how bad of a metric it is to indicate the state of a healthy economy. Millions are out of work, millions are sick, cities are on fire, but the DJI/S&amp;P are doing just fine?!",negative,2020-05-30 21:13:53+00:00,0,2,,
7,"Imagine stock market could approach the long-term trendline by closing DJI at 3K or 4K would be massive closure of markets before it happened, it was already talked about when we were 30% down, do you imagine 100% or 200%? Closer it not surprise",negative,2020-05-30 11:53:13+00:00,0,0,,
8,#Bullish H&amp;S on $XLNX It's ready for a breakout to fill the gap. It may pause at $96 #StockMarket #Futures #options #bearish #Oil #gas $SPX $NDX $RUT $DJI $SPY $QQQ $IWM $DIA $AAPL $AMZN $FB $GOOGL $NFLX $TSLA $BA $MSFT $BAC $AAL $DAL $UBER $GE $SNAP $GLD $TLT #Goodluck,positive,2020-05-30 05:10:53+00:00,2,0,,#Bullish #StockMarket #Futures #options #bearish #Oil #gas #Goodluck
9,The year is 2020! Wow! #COVID19 #BREAKING #NotDyingForWallStreet #togetherWeAreStronger #GeorgeFloydprotest V shape Recovery! #China #WW3 $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket ,positive,2020-05-30 00:01:24+00:00,1,2,,#COVID19 #BREAKING #NotDyingForWallStreet #togetherWeAreStronger #GeorgeFloydprotest #China #WW3 #ES_F #StockMarket
10,$DJI when from -200 to positive after the speech. The stock market is an alt-coin.,positive,2020-05-29 19:01:02+00:00,0,9,,
