,Text,Sentiment,Date,Favorites,Retweets,Mentions,HashTags
0,"#Unemployment at its highest while the #billionaires got richer by $440B, feds keep the printing money, corporations getting #bailouts, #protests #riots all over the country, and the stock market keeps going up? Can someone please explain this shit? $DJI $SPX #StockMarket",negative,2020-05-31 22:51:49+00:00,0,4,,#Unemployment #billionaires #bailouts #protests #riots #StockMarket
2,#global #Shutdown WAS #shutdown #FederalGovt made it clear to pump #money #ES_F #ES #spx #futures $ndx $dji $rut watch #technical #trading #stockmarket outlook for coming week. #stocks #options #forex #BTC #tradingpsychology #trading #education #COVID19,neutral,2020-05-31 20:53:14+00:00,1,0,,#global #Shutdown #shutdown #FederalGovt #money #ES_F #ES #spx #futures #technical #trading #stockmarket #stocks #options #forex #BTC #BTC #tradingpsychology #trading #education #COVID19
5,Does the stock market go up or down Monday? $SPY $DJI $NDX #stocks #stockmarket,neutral,2020-05-31 00:51:18+00:00,1,0,,#stocks #stockmarket
8,#Bullish H&amp;S on $XLNX It's ready for a breakout to fill the gap. It may pause at $96 #StockMarket #Futures #options #bearish #Oil #gas $SPX $NDX $RUT $DJI $SPY $QQQ $IWM $DIA $AAPL $AMZN $FB $GOOGL $NFLX $TSLA $BA $MSFT $BAC $AAL $DAL $UBER $GE $SNAP $GLD $TLT #Goodluck,positive,2020-05-30 05:10:53+00:00,2,0,,#Bullish #StockMarket #Futures #options #bearish #Oil #gas #Goodluck
9,The year is 2020! Wow! #COVID19 #BREAKING #NotDyingForWallStreet #togetherWeAreStronger #GeorgeFloydprotest V shape Recovery! #China #WW3 $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket ,positive,2020-05-30 00:01:24+00:00,1,2,,#COVID19 #BREAKING #NotDyingForWallStreet #togetherWeAreStronger #GeorgeFloydprotest #China #WW3 #ES_F #StockMarket
10,$DJI when from -200 to positive after the speech. The stock market is an alt-coin.,positive,2020-05-29 19:01:02+00:00,0,9,,
11,#Exchange #NewYorkStockExchange #NYSE #TheBigBoard #DowJonesIndustrialAverage #DJIA #DJI #StockMarketIndex #StockMarket #SandPGlobal #CMEGroup #NASDAQ #JapanExchangeGroup #ShanghaiStockExchange #Euronext #LondonStockExchange #HongKongStockExchange #ShenzhenStockExchange #TMXGroup,neutral,2020-05-29 14:16:43+00:00,0,0,,#Exchange #NewYorkStockExchange #NYSE #TheBigBoard #DowJonesIndustrialAverage #DJIA #DJI #StockMarketIndex #StockMarket #SandPGlobal #CMEGroup #NASDAQ #JapanExchangeGroup #ShanghaiStockExchange #Euronext #LondonStockExchange #HongKongStockExchange #ShenzhenStockExchange #TMXGroup
14,Momentum could be a less-profitable strategy in the stock market #Stocks #Markets $SPX $ES_F $SPY $IXIC $QQQ $DJI ,negative,2020-05-29 07:15:28+00:00,1,0,,#Stocks #Markets
20,"Now would be a good time to notice that the Stock Market is a shit indicator of the Economy If you owned any stock listed in the DJI only a year, you're likely to still have ROI on it. Meanwhile, unemployment is the highest it's ever been. And it's only the first wave of C19. ",negative,2020-05-28 14:44:51+00:00,0,0,,
23,Even the stock market knows we were played!!! The DJI is roaring back!!!,positive,2020-05-27 21:10:08+00:00,22,45,,
