,Text,Sentiment,Date,Favorites,Retweets,Mentions,HashTags
3,"Finally, a breakout and a new all time high. $REGN #StockMarket #Futures #options #bearish #Oil #gas $SPX $NDX $RUT $DJI $SPY $QQQ $IWM $DIA $AAPL $AMZN $FB $GOOGL $NFLX $TSLA $BA $MSFT $BAC $AAL $DAL $UBER $GE $SNAP $GLD $TLT #Goodluck",negative,2020-05-31 13:01:52+00:00,0,0,,#StockMarket #Futures #options #bearish #Oil #gas #Goodluck
4,Do you think the stock market and DJI will fall in Monday?,negative,2020-05-31 10:18:19+00:00,0,1,,
6,"The fact that the stock market has been perfectly fine this whole time just exposes how bad of a metric it is to indicate the state of a healthy economy. Millions are out of work, millions are sick, cities are on fire, but the DJI/S&amp;P are doing just fine?!",negative,2020-05-30 21:13:53+00:00,0,2,,
7,"Imagine stock market could approach the long-term trendline by closing DJI at 3K or 4K would be massive closure of markets before it happened, it was already talked about when we were 30% down, do you imagine 100% or 200%? Closer it not surprise",negative,2020-05-30 11:53:13+00:00,0,0,,
12,Dow Jones. Still valid. #stocks #trading #StockMarket #DJI ,neutral,2020-05-29 13:57:39+00:00,0,0,,#stocks #trading #StockMarket #DJI
13,Stock futures fall ahead of Trump's announcement on China. What will Mr. President do? #Markets #Stocks $SPX $SPY $ES_F $IXIC $QQQ $DJI,negative,2020-05-29 07:23:24+00:00,0,0,,#Markets #Stocks
15,"When the stock market corrects. #BTC is going to feel the effects. Could be fun... So stay safe, looks pretty toppy when you look at the DJI and SPX",negative,2020-05-29 06:28:39+00:00,1,3,,#BTC #BTC
16,Today's stock market action had more decliners than advancers and sold off pretty aggressively late in the day. Everyone has a hair-trigger impulse to sell. Could get ugly if everyone decides to head for the exits at the same time.. #stocks #NYSE #TSX $SPY $DJI $NDX,negative,2020-05-28 22:41:11+00:00,0,0,,#stocks #NYSE #TSX
17,"For all of us wondering, why can't FED just keep printing more money. There is a point in time where they will have to stop giving stimulus, buying bonds and stocks. $SPY $DJI #Dow #NASDAQ #investing #StockMarket ",negative,2020-05-28 16:38:31+00:00,1,3,,#Dow #NASDAQ #investing #StockMarket
18,Another 2.1 million file jobless claims this week. The total now is 41 million Americans. $SPY $DJI #StockMarket $QQQ #investing,negative,2020-05-28 16:16:26+00:00,0,0,,#StockMarket #investing
